Dzielnica;Metraz;Pokoje;Pietro;Cena
Krzyki;56;2;0;379000
Krzyki;54;2;0;350000
Srodmiescie;54;3;7;300000
Srodmiescie;45;2;4;320000
Srodmiescie;77;3;2;600000
Fabryczna;70;3;3;395000
Fabryczna;46;2;2;181000
Fabryczna;49;2;1;260000
Fabryczna;72;4;4;360000
Fabryczna;67;3;0;360000
Stare Miasto;50;3;3;290000
Stare Miasto;40;2;0;228000
Srodmiescie;57;2;3;395000
Srodmiescie;64;4;5;330000
Srodmiescie;64;2;3;350000
Srodmiescie;51;2;3;380000
Srodmiescie;54;1;0;430000
Srodmiescie;39;2;4;235000
Srodmiescie;27;2;0;185000
Srodmiescie;30;1;1;210000
Srodmiescie;65;3;1;360000
Srodmiescie;79;4;0;470000
Srodmiescie;64;3;2;449000
Krzyki;64;4;1;515000
Krzyki;56;3;3;310000
Psie Pole;76;3;1;398000
Stare Miasto;60;2;1;530000
Stare Miasto;46;3;4;325000
Stare Miasto;51;2;2;350000
Stare Miasto;50;2;2;345000
Fabryczna;28;1;2;175000
Fabryczna;70;3;0;470000
Psie Pole;62;3;4;330000
Psie Pole;36;2;4;205000
Psie Pole;63;3;11;330000
Psie Pole;64;3;0;268000
Psie Pole;65;3;4;345000
Psie Pole;57;3;0;279000
Psie Pole;62;3;11;280000
Psie Pole;36;2;10;195000
Psie Pole;43;2;1;255000
Psie Pole;74;3;10;545000
Psie Pole;89;4;3;410000
Psie Pole;75;3;4;450000
Psie Pole;63;3;1;329000
Psie Pole;65;3;1;330000
Psie Pole;63;3;1;319000
Psie Pole;63;3;3;299000
Psie Pole;80;3;1;399000
Psie Pole;63;3;2;340000
Stare Miasto;38;2;3;230000
Psie Pole;105;4;2;588945
Krzyki;33;2;7;219000
Krzyki;38;2;9;242000
Psie Pole;60;3;6;370000
Psie Pole;88;4;3;460000
Psie Pole;68;3;3;395000
Psie Pole;75;4;9;352500
Psie Pole;77;4;3;365000
Psie Pole;47;2;3;268000
Srodmiescie;46;2;3;260000
Srodmiescie;61;2;2;290000
Srodmiescie;43;2;4;170000
Srodmiescie;83;4;3;576850
Stare Miasto;50;2;3;268000
Stare Miasto;25;1;3;217000
Psie Pole;36;2;2;195000
Psie Pole;60;3;11;353000
Psie Pole;21;1;9;175000
Psie Pole;60;3;1;269000
Psie Pole;57;3;2;280000
Psie Pole;64;3;0;290000
Krzyki;76;3;1;450000
Krzyki;65;3;7;375000
Psie Pole;70;4;1;459000
Psie Pole;66;3;2;399000
Psie Pole;45;2;2;255000
Psie Pole;68;3;0;470000
Psie Pole;56;3;0;329000
Psie Pole;67;3;0;450000
Psie Pole;95;3;3;549000
Krzyki;85;4;5;499000
Krzyki;73;3;1;374000
Krzyki;108;3;3;470000
Krzyki;83;3;4;440000
Krzyki;64;3;3;299000
Krzyki;43;2;0;240000
Krzyki;33;2;3;230000
Krzyki;25;1;5;185000
Krzyki;36;2;2;250000
Srodmiescie;50;3;4;324000
Fabryczna;55;2;2;312000
Fabryczna;30;2;1;230000
Fabryczna;55;3;2;328000
Fabryczna;70;3;1;435000
Krzyki;65;4;0;380000
Krzyki;52;2;2;290000
Krzyki;93;4;1;449000
Psie Pole;35;2;4;235000
Psie Pole;50;3;1;300000
Psie Pole;64;4;2;329000
Psie Pole;38;1;1;236000
Psie Pole;50;2;4;319000
Psie Pole;54;2;2;315000
Psie Pole;39;2;0;250000
Psie Pole;58;3;3;416000
Krzyki;61;3;0;465000
Psie Pole;43;2;1;330000
Psie Pole;91;4;3;550000
Psie Pole;63;2;4;275572
Psie Pole;63;3;3;300000
Psie Pole;71;3;3;450000
Fabryczna;47;2;5;299000
Psie Pole;33;1;2;260000
Psie Pole;33;1;0;249500
Psie Pole;52;2;2;320000
Psie Pole;54;3;0;395000
Psie Pole;27;1;2;165000
Psie Pole;37;2;3;150000
Psie Pole;56;3;11;310000
Psie Pole;65;4;2;340000
Psie Pole;45;2;3;225000
Psie Pole;45;3;6;260000
Psie Pole;40;1;4;248000
Psie Pole;37;2;1;250000
Psie Pole;52;2;4;311500
Psie Pole;53;4;3;350000
Krzyki;88;3;4;529000
Krzyki;119;6;3;690000
Krzyki;35;1;2;239000
Psie Pole;42;2;5;230000
Psie Pole;57;3;12;349000
Psie Pole;58;2;6;340000
Psie Pole;56;3;10;329900
Psie Pole;59;3;1;270000
Psie Pole;47;2;2;280000
Psie Pole;40;2;2;235000
Krzyki;68;3;0;270000
Krzyki;58;3;2;333000
Krzyki;71;3;0;459000
Psie Pole;117;5;3;520000
Psie Pole;65;2;5;470000
Psie Pole;49;2;3;285000
Psie Pole;108;4;2;760000
Psie Pole;75;3;0;365000
Psie Pole;48;2;0;300000
Psie Pole;50;2;3;285000
Psie Pole;82;3;1;460000
Psie Pole;67;3;3;379000
Krzyki;101;4;0;650000
Krzyki;75;3;0;450000
Krzyki;63;3;0;295000
Krzyki;57;3;3;360000
Krzyki;86;2;3;520000
Krzyki;51;2;5;299000
Psie Pole;56;2;4;259000
Psie Pole;58;3;1;299000
Krzyki;56;3;3;339000
Psie Pole;73;3;0;435000
Psie Pole;54;2;1;300000
Psie Pole;72;3;4;380000
Psie Pole;70;3;0;390000
Psie Pole;70;3;0;425000
Psie Pole;69;3;3;415000
Psie Pole;69;3;0;359900
Psie Pole;34;1;1;210000
Psie Pole;75;4;3;449000
Psie Pole;50;2;1;260000
Psie Pole;48;2;0;300000
Psie Pole;61;3;5;339000
Psie Pole;47;2;8;285000
Psie Pole;79;4;3;364000
Krzyki;43;2;1;315000
Krzyki;38;1;2;280000
Krzyki;44;2;1;259000
Psie Pole;30;1;2;210000
Psie Pole;51;2;0;325000
Psie Pole;47;3;4;320000
Psie Pole;47;3;4;285000
Psie Pole;38;2;0;245000
Psie Pole;53;3;1;370000
Psie Pole;35;2;4;250000
Psie Pole;49;2;1;450000
Krzyki;84;4;10;390000
Krzyki;63;3;8;325000
Krzyki;62;3;6;345000
Psie Pole;55;2;0;244600
Psie Pole;63;3;2;311600
Psie Pole;64;3;2;288800
Psie Pole;63;3;1;281900
Srodmiescie;28;1;1;168000
Srodmiescie;47;2;0;285000
Srodmiescie;46;2;3;315000
Srodmiescie;47;2;0;300000
Srodmiescie;55;2;4;530000
Srodmiescie;72;3;0;390000
Srodmiescie;55;2;4;295000
Srodmiescie;53;2;3;347000
Srodmiescie;43;2;1;345000
Psie Pole;33;2;2;224000
Psie Pole;42;2;10;249000
Psie Pole;64;3;1;345000
Psie Pole;44;3;4;310000
Psie Pole;35;1;2;242000
Psie Pole;53;2;1;285000
Psie Pole;20;1;2;133000
Psie Pole;108;3;3;540000
Psie Pole;43;2;0;165500
Krzyki;61;2;3;199000
Krzyki;58;2;3;269000
Psie Pole;59;2;1;340000
Psie Pole;43;2;3;285000
Krzyki;28;1;3;180000
Krzyki;56;3;9;380000
Krzyki;60;3;8;365000
Krzyki;28;1;1;186000
Krzyki;57;3;9;280000
Krzyki;55;3;1;380000
Krzyki;37;2;10;224000
Fabryczna;57;2;3;372000
Fabryczna;50;2;0;365000
Fabryczna;36;2;2;200000
Fabryczna;30;1;4;200000
Fabryczna;62;3;3;450000
Fabryczna;63;4;2;290000
Psie Pole;59;2;1;399000
Psie Pole;55;2;0;380000
Krzyki;54;2;0;410000
Krzyki;56;2;0;435000
Krzyki;76;3;0;650000
Krzyki;56;2;2;440000
Krzyki;61;3;0;630000
Srodmiescie;50;2;5;325000
Srodmiescie;60;3;8;355000
Srodmiescie;65;3;2;369000
Srodmiescie;63;4;5;349000
Stare Miasto;25;1;2;195000
Fabryczna;49;2;6;265000
Fabryczna;49;3;5;230000
Fabryczna;48;2;7;250000
Fabryczna;36;2;1;250000
Fabryczna;64;4;3;350000
Fabryczna;63;4;4;320000
Fabryczna;40;2;1;219000
Fabryczna;54;3;3;269000
Fabryczna;40;2;4;243000
Psie Pole;64;3;0;329000
Fabryczna;54;2;4;200000
Fabryczna;31;1;4;165000
Fabryczna;60;5;2;530000
Krzyki;51;2;1;341500
Srodmiescie;63;3;0;400000
Srodmiescie;53;2;1;340000
Srodmiescie;94;4;2;360000
Psie Pole;50;3;7;290000
Krzyki;53;2;2;397500
Psie Pole;37;2;2;225000
Psie Pole;26;1;4;205000
Krzyki;52;2;0;225000
Krzyki;56;2;0;350000
Krzyki;72;3;2;380000
Krzyki;34;1;4;290000
Krzyki;44;1;2;270000
Krzyki;53;2;2;290000
Psie Pole;27;1;0;178000
Psie Pole;28;1;0;178000
Psie Pole;46;2;0;277140
Psie Pole;73;3;11;330000
Psie Pole;64;3;0;315000
Psie Pole;48;2;1;255000
Stare Miasto;52;2;3;280000
Stare Miasto;51;2;1;265000
Stare Miasto;50;2;0;248000
Stare Miasto;36;2;3;265000
Krzyki;49;2;4;250000
Krzyki;40;2;4;310000
Krzyki;48;2;4;331200
Krzyki;32;1;1;170000
Krzyki;94;3;4;487000
Krzyki;54;2;0;300000
Krzyki;50;2;1;236000
Psie Pole;81;3;3;420000
Psie Pole;55;2;2;305000
Psie Pole;64;3;2;390000
Srodmiescie;65;3;0;370000
Fabryczna;60;3;4;270000
Fabryczna;72;3;4;360000
Psie Pole;64;3;4;350000
Krzyki;70;3;6;350000
Krzyki;65;3;4;320000
Krzyki;25;1;4;160000
Krzyki;46;2;4;303000
Krzyki;35;1;2;247000
Krzyki;34;1;1;215000
Krzyki;44;2;1;340000
Stare Miasto;40;2;4;330000
Stare Miasto;50;2;2;350000
Fabryczna;40;2;0;140000
Psie Pole;63;3;6;339000
Psie Pole;41;2;0;145000
Psie Pole;60;3;2;345000
Psie Pole;82;4;7;410000
Psie Pole;63;3;6;360000
Psie Pole;64;3;1;330000
Psie Pole;82;4;1;370000
Psie Pole;84;4;5;459000
Psie Pole;70;3;3;429900
Psie Pole;58;3;1;375000
Psie Pole;50;2;1;260000
Psie Pole;49;3;2;325000
Krzyki;71;3;2;399000
Fabryczna;76;4;2;399000
Stare Miasto;34;2;1;265000
Stare Miasto;34;2;4;355000
Srodmiescie;39;3;4;169000
Psie Pole;50;2;0;280000
Psie Pole;50;2;1;243000
Psie Pole;82;3;0;410000
Psie Pole;60;3;0;390000
Fabryczna;51;2;0;255000
Psie Pole;64;3;3;400000
Psie Pole;81;3;2;450000
Psie Pole;45;2;2;319000
Psie Pole;37;2;9;210000
Psie Pole;56;3;0;330000
Psie Pole;66;3;3;375000
Psie Pole;59;3;4;340000
Stare Miasto;50;2;9;290000
Stare Miasto;40;2;0;255000
Stare Miasto;58;3;3;396000
Stare Miasto;47;2;0;329000
Krzyki;65;3;9;350000
Krzyki;60;3;5;389000
Krzyki;35;2;7;225000
Krzyki;66;3;4;379000
Krzyki;62;3;9;345000
Krzyki;67;3;3;368000
Krzyki;35;2;5;240000
Krzyki;67;3;7;340000
Krzyki;65;3;8;330000
Krzyki;90;4;10;340000
Krzyki;82;4;2;389000
Krzyki;50;2;3;310450
Krzyki;57;2;2;360000
Fabryczna;65;3;3;540000
Fabryczna;54;2;0;335000
Fabryczna;31;1;4;195000
Fabryczna;49;2;0;340000
Fabryczna;28;1;1;149000
Fabryczna;49;2;1;240000
Fabryczna;67;3;1;400000
Psie Pole;39;2;1;215000
Psie Pole;53;3;3;430000
Srodmiescie;76;4;2;460000
Krzyki;77;4;0;380000
Krzyki;84;3;1;580000
Krzyki;90;4;0;580000
Stare Miasto;37;2;4;305000
Psie Pole;48;3;3;260000
Psie Pole;35;2;2;208000
Psie Pole;35;2;2;210000
Psie Pole;54;3;10;335000
Psie Pole;54;3;5;320000
Psie Pole;54;3;6;290000
Psie Pole;83;4;4;430000
Psie Pole;65;4;2;420000
Psie Pole;39;2;3;275000
Psie Pole;58;3;4;385000
Stare Miasto;37;2;2;215000
Stare Miasto;27;1;9;230000
Stare Miasto;37;2;4;260000
Stare Miasto;32;1;6;235000
Fabryczna;64;3;2;435000
Fabryczna;95;4;2;525000
Fabryczna;60;2;0;390000
Psie Pole;50;2;0;269000
Psie Pole;39;1;3;255000
Psie Pole;54;2;2;415000
Psie Pole;80;4;5;479200
Krzyki;75;4;2;549000
Fabryczna;30;1;2;210000
Fabryczna;32;1;1;235000
Srodmiescie;71;3;0;425000
Fabryczna;50;2;4;287000
Fabryczna;72;3;7;345000
Fabryczna;51;2;7;280000
Fabryczna;84;4;2;370000
Fabryczna;49;2;8;269000
Fabryczna;72;3;2;360000
Fabryczna;72;4;10;430000
Fabryczna;70;3;7;399000
Fabryczna;51;2;0;299000
Fabryczna;51;2;2;320000
Fabryczna;36;2;7;185000
Fabryczna;53;2;6;320000
Fabryczna;48;3;0;300000
Fabryczna;63;3;5;369000
Stare Miasto;49;3;6;292000
Srodmiescie;99;3;2;575000
Psie Pole;41;2;1;269000
Psie Pole;51;2;9;290000
Stare Miasto;40;2;2;259000
Stare Miasto;39;2;7;255000
Psie Pole;54;4;10;270000
Psie Pole;26;1;2;159000
Psie Pole;40;2;0;269000
Psie Pole;55;4;8;399000
Psie Pole;97;3;0;550000
Psie Pole;91;3;3;470000
Psie Pole;45;2;0;275000
Stare Miasto;60;3;3;499000
Stare Miasto;40;3;4;345000
Fabryczna;33;1;1;205000
Fabryczna;50;2;0;255000
Stare Miasto;70;3;1;400000
Stare Miasto;34;1;1;220000
Krzyki;65;2;4;260000
Krzyki;56;2;3;339000
Krzyki;63;3;3;365000
Krzyki;97;3;2;499000
Krzyki;74;3;0;517000
Krzyki;41;2;2;250000
Krzyki;60;3;2;379000
Krzyki;93;4;2;664000
Krzyki;33;1;0;255000
Krzyki;58;3;2;320540
Psie Pole;71;4;0;385000
Stare Miasto;68;3;2;720000
Krzyki;61;2;4;280000
Psie Pole;62;3;1;389000
Stare Miasto;54;2;0;450000
Krzyki;44;2;2;295000
Psie Pole;45;2;0;270000
Srodmiescie;67;3;3;449000
Srodmiescie;51;2;1;340000
Fabryczna;61;2;1;399000
Fabryczna;54;2;1;260000
Krzyki;69;3;3;370000
Krzyki;80;3;0;333000
Krzyki;78;3;2;378000
Krzyki;60;3;2;390000
Fabryczna;47;2;0;320000
Fabryczna;55;2;2;390000
Psie Pole;71;3;2;489000
Psie Pole;43;2;3;279000
Psie Pole;61;3;3;329000
Srodmiescie;45;3;3;400000
Srodmiescie;45;2;3;395000
Psie Pole;44;2;0;255000
Psie Pole;66;3;11;315000
Psie Pole;60;3;7;277000
Krzyki;66;2;0;269000
Krzyki;38;2;0;240000
Krzyki;54;2;2;220000
Krzyki;52;2;1;375000
Krzyki;54;2;0;380000
Krzyki;53;2;0;340000
Krzyki;44;2;1;299000
Krzyki;74;3;2;449000
Fabryczna;44;2;0;289800
Psie Pole;53;3;6;290000
Psie Pole;54;3;1;285000
Psie Pole;42;2;8;260000
Psie Pole;42;2;5;270000
Psie Pole;27;1;10;220000
Psie Pole;63;4;4;359000
Psie Pole;54;3;5;310000
Fabryczna;57;3;0;245000
Fabryczna;75;3;4;435000
Stare Miasto;25;1;4;189000
Psie Pole;48;2;2;299000
Srodmiescie;61;3;2;460000
Krzyki;73;3;0;450000
Krzyki;76;3;2;490000
Psie Pole;50;3;1;290000
Psie Pole;58;3;3;320000
Psie Pole;48;2;4;335000
Srodmiescie;66;3;1;499000
Psie Pole;73;3;4;550000
Psie Pole;52;2;4;295000
Srodmiescie;66;3;0;380000
Srodmiescie;80;3;0;399000
Srodmiescie;72;3;0;405000
Srodmiescie;73;3;3;485000
Srodmiescie;42;1;2;210000
Srodmiescie;57;3;2;370000
Psie Pole;50;2;1;339000
Stare Miasto;27;1;3;226000
Stare Miasto;60;2;4;480000
Stare Miasto;41;2;4;338142
Krzyki;39;2;5;265000
Krzyki;53;3;0;320000
Krzyki;50;3;3;315000
Krzyki;45;2;4;265500
Psie Pole;31;1;1;190000
Psie Pole;45;2;2;297000
Fabryczna;49;2;3;282000
Fabryczna;69;4;10;330000
Fabryczna;26;1;10;179900
Fabryczna;28;1;5;189000
Fabryczna;75;4;3;399000
Fabryczna;63;3;2;395000
Fabryczna;33;1;11;199000
Fabryczna;74;4;3;440000
Fabryczna;54;2;3;295000
Fabryczna;36;1;0;240000
Fabryczna;33;1;0;225000
Fabryczna;48;2;1;270000
Fabryczna;28;1;5;170000
Fabryczna;36;2;1;220000
Krzyki;62;3;1;475000
Krzyki;61;3;2;355000
Krzyki;50;1;3;340000
Stare Miasto;66;3;1;480000
Fabryczna;23;1;7;159000
Fabryczna;23;1;9;145000
Psie Pole;37;2;0;227000
Fabryczna;63;3;7;370000
Fabryczna;60;3;9;330000
Psie Pole;63;2;0;319000
Srodmiescie;49;3;3;315000
Srodmiescie;46;2;0;255000
Srodmiescie;70;3;1;385000
Srodmiescie;72;3;1;500000
Srodmiescie;56;3;0;420000
Srodmiescie;29;1;3;236000
Stare Miasto;47;2;4;570000
Srodmiescie;65;2;3;330000
Krzyki;56;2;1;405000
Krzyki;97;3;1;540000
Krzyki;56;3;1;375000
Krzyki;94;3;2;425000
Krzyki;89;5;3;489000
Krzyki;31;1;0;330000
Krzyki;54;2;0;402750
Krzyki;40;2;2;280000
Krzyki;46;3;0;250000
Krzyki;49;3;0;345000
Krzyki;46;2;2;319000
Krzyki;66;3;1;380000
Krzyki;71;3;2;395000
Srodmiescie;68;3;1;380000
Srodmiescie;84;3;2;450000
Srodmiescie;61;2;4;259000
Krzyki;55;4;1;370000
Fabryczna;46;2;0;305000
Fabryczna;35;2;1;250000
Psie Pole;26;1;3;179000
Psie Pole;20;1;1;175000
Krzyki;72;3;4;445000
Krzyki;68;3;2;410000
Krzyki;45;2;1;280000
Psie Pole;76;3;1;410000
Psie Pole;58;4;3;420000
Psie Pole;45;2;1;320000
Psie Pole;45;2;2;180000
Psie Pole;62;3;9;280000
Psie Pole;52;3;0;360000
Psie Pole;50;2;2;295000
Fabryczna;26;1;2;165000
Fabryczna;64;4;1;355000
Fabryczna;40;2;3;240000
Krzyki;48;2;0;325000
Krzyki;68;3;0;417000
Krzyki;56;3;1;429968
Krzyki;33;2;3;260000
Krzyki;48;2;2;340000
Srodmiescie;114;4;1;590000
Srodmiescie;52;2;0;345000
Psie Pole;117;4;0;579000
Psie Pole;64;3;3;420000
Psie Pole;114;4;2;450000
Psie Pole;59;2;3;330000
Psie Pole;88;4;3;549000
Psie Pole;47;2;1;299000
Psie Pole;104;4;0;695000
Fabryczna;55;3;0;349000
Stare Miasto;60;4;3;335000
Stare Miasto;44;3;1;400000
Srodmiescie;49;3;1;350000
Srodmiescie;104;5;3;490000
Krzyki;61;3;3;390000
Krzyki;29;1;2;225000
Psie Pole;59;3;1;315000
Krzyki;72;4;4;385000
Krzyki;55;2;7;339000
Krzyki;62;3;2;372000
Krzyki;33;1;0;264900
Krzyki;72;4;9;380000
Stare Miasto;58;2;4;360000
Stare Miasto;60;2;3;474000
Stare Miasto;28;1;2;219000
Stare Miasto;65;3;3;450000
Psie Pole;38;1;3;205000
Srodmiescie;49;3;1;279000
Srodmiescie;25;1;3;185000
Stare Miasto;110;4;3;680000
Fabryczna;52;2;5;338000
Srodmiescie;39;2;4;315000
Srodmiescie;35;1;4;250000
Srodmiescie;34;1;3;270000
Srodmiescie;68;3;2;460000
Psie Pole;54;2;4;279000
Fabryczna;66;3;2;360000
Krzyki;64;3;5;384000
Krzyki;35;1;2;190000
Krzyki;43;2;10;225000
Krzyki;44;2;10;267000
Stare Miasto;80;3;2;399000
Stare Miasto;54;3;1;850000
Stare Miasto;46;2;1;650000
Srodmiescie;80;4;1;420000
Srodmiescie;49;2;4;320000
Krzyki;40;2;3;280000
Psie Pole;120;5;0;700000
Stare Miasto;40;1;3;235000
Stare Miasto;88;2;0;425000
Fabryczna;60;2;3;310000
Fabryczna;35;2;2;235000
Fabryczna;64;3;1;299000
Fabryczna;64;3;1;310000
Fabryczna;37;1;3;215000
Fabryczna;54;2;8;299000
Fabryczna;53;2;6;333000
Fabryczna;31;1;4;189000
Fabryczna;78;3;0;440000
Fabryczna;50;2;6;315000
Fabryczna;42;2;0;250000
Fabryczna;50;2;4;339000
Fabryczna;31;1;4;199000
Srodmiescie;55;2;2;325000
Srodmiescie;33;1;1;230000
Srodmiescie;57;2;3;230000
Srodmiescie;40;2;0;250000
Krzyki;73;3;4;465000
Krzyki;80;3;4;480000
Krzyki;50;2;1;338000
Psie Pole;33;2;2;219000
Psie Pole;60;3;3;358000
Psie Pole;34;2;1;240000
Psie Pole;34;2;9;205000
Psie Pole;34;2;9;220000
Psie Pole;64;4;4;345000
Psie Pole;54;3;3;285000
Krzyki;70;3;3;429000
Krzyki;36;1;1;259000
Krzyki;72;3;4;429000
Psie Pole;55;2;1;278000
Psie Pole;45;2;1;275000
Fabryczna;45;2;1;250000
Srodmiescie;54;2;1;339000
Srodmiescie;47;1;0;240000
Psie Pole;35;1;1;320000
Krzyki;63;3;8;279000
Krzyki;52;2;7;339000
Krzyki;85;2;3;379000
Krzyki;42;2;7;251000
Krzyki;53;2;7;320000
Krzyki;63;3;7;420000
Krzyki;110;4;0;850000
Stare Miasto;25;1;9;130000
Stare Miasto;36;1;4;260000
Psie Pole;60;3;0;370000
Krzyki;45;2;2;224000
Krzyki;37;2;4;150000
Psie Pole;32;1;0;259000
Srodmiescie;130;5;3;648700
Srodmiescie;20;1;1;160000
Srodmiescie;59;2;4;319000
Srodmiescie;30;1;1;233000
Srodmiescie;92;4;1;590000
Srodmiescie;61;3;3;427000
Fabryczna;74;3;1;450000
Fabryczna;36;2;0;265000
Fabryczna;52;2;2;259000
Psie Pole;80;3;0;399200
Krzyki;94;3;3;451200
Krzyki;53;2;2;330000
Krzyki;53;2;2;350000
Krzyki;75;3;4;385000
Krzyki;70;4;8;320000
Krzyki;54;2;1;420000
Krzyki;51;2;4;450000
Krzyki;48;2;0;335000
Krzyki;75;3;1;600000
Krzyki;82;3;11;490000
Psie Pole;49;2;1;253650
Psie Pole;66;3;1;479000
Krzyki;53;3;7;340000
Krzyki;78;3;0;455000
Krzyki;76;4;3;425000
Psie Pole;80;3;0;350000
Krzyki;80;3;1;590000
Krzyki;34;1;0;203906
Krzyki;60;3;1;549000
Psie Pole;69;3;1;445000
Psie Pole;93;3;2;460000
Srodmiescie;45;2;0;339000
Srodmiescie;95;3;2;420000
Srodmiescie;62;1;5;190000
Srodmiescie;70;3;5;630000
Srodmiescie;38;2;1;250000
Psie Pole;100;3;1;490000
Psie Pole;80;4;0;379000
Stare Miasto;30;2;4;180000
Krzyki;60;3;3;440000
Psie Pole;62;3;0;315000
Psie Pole;83;4;1;420000
Psie Pole;63;3;7;329000
Psie Pole;67;3;6;350000
Psie Pole;63;3;1;340000
Psie Pole;60;3;1;295000
Psie Pole;83;4;4;399000
Psie Pole;49;2;4;299000
Psie Pole;60;3;2;290000
Psie Pole;34;1;7;215000
Psie Pole;68;3;4;370000
Psie Pole;60;3;1;310000
Psie Pole;63;3;0;399000
Srodmiescie;52;2;2;280000
Fabryczna;75;4;1;490000
Krzyki;63;3;4;405000
Psie Pole;48;2;1;325000
Stare Miasto;35;1;2;355000
Krzyki;48;2;1;360000
Krzyki;52;2;0;420000
Krzyki;89;4;3;640000
Krzyki;63;3;3;339999
Krzyki;82;3;3;499000
Krzyki;31;2;4;280000
Krzyki;65;3;3;490000
Krzyki;61;1;4;287000
Krzyki;50;2;2;300000
Krzyki;53;2;0;299000
Srodmiescie;44;2;3;246000
Stare Miasto;43;2;2;645000
Stare Miasto;56;3;4;500000
Stare Miasto;41;1;2;550000
Stare Miasto;92;2;2;890000
Psie Pole;30;1;1;155000
Psie Pole;29;1;1;160000
Krzyki;24;1;2;150000
Krzyki;119;4;3;749000
Psie Pole;36;2;3;215000
Psie Pole;45;2;4;295000
Stare Miasto;68;3;4;460000
Krzyki;90;4;4;450000
Krzyki;66;2;2;349000
Krzyki;54;2;1;271905
Srodmiescie;37;2;4;230000
Psie Pole;78;3;0;359000
Psie Pole;30;2;2;179000
Srodmiescie;33;1;2;190000
Fabryczna;67;2;2;354000
Fabryczna;47;2;2;270000
Srodmiescie;75;2;2;410000
Srodmiescie;75;3;0;483750
Srodmiescie;80;4;0;360000
Srodmiescie;59;3;3;380000
Srodmiescie;60;2;0;320000
Srodmiescie;47;2;4;330000
Krzyki;58;3;1;380000
Krzyki;57;2;0;299000
Krzyki;50;2;2;320000
Krzyki;35;1;1;230000
Krzyki;76;4;0;495000
Krzyki;47;2;2;346320
Krzyki;60;3;2;385000
Krzyki;53;2;2;320000
